REF_AREA,TIME_PERIOD,IMF_WEO_NGDP_RPCH,IMF_WEO_LUR,IMF_WEO_LP,IMF_WEO_PCPIPCH,IMF_WEO_TM_RPCH,IMF_WEO_TX_RPCH,IMF_WEO_BCA_NGDPD,IMF_WEO_NGAP_NPGDP,IMF_WEO_NGSD_NGDP
LUX,1988,8.464,1.536,0.374,1.4,10.451,11.073,12.022,5.201,30.623
LUX,1989,9.798,1.402,0.378,3.4,9.148,12.588,12.022,9.211,32.605
LUX,1990,5.32,1.256,0.382,3.7,4.999,5.587,12.022,8.919,34.018
LUX,1991,8.645,1.38,0.387,3.1,9.129,9.186,12.022,12.276,35.244
LUX,1992,1.819,1.634,0.392,3.2,-3.095,2.731,12.022,8.685,35.683
LUX,1993,4.201,2.105,0.398,3.6,5.222,4.758,12.022,7.836,35.645
LUX,1994,3.821,2.732,0.404,2.2,6.711,7.69,12.022,6.701,33.835
LUX,1995,1.432,2.961,0.406,1.9,4.235,4.571,12.022,3.176,31.714
LUX,1996,1.515,3.241,0.412,1.156,5.387,2.271,11.566,-1.347,31.851
LUX,1997,5.937,3.302,0.417,1.371,12.605,11.367,9.978,-1.561,32.325
LUX,1998,6.492,3.057,0.422,0.972,11.812,11.173,8.556,-1.347,32.005
LUX,1999,8.421,2.89,0.427,1.021,14.816,14.251,10.771,0.781,34.835
LUX,2000,8.442,2.4,0.434,3.782,15.012,17.131,12.654,3.454,35.213
LUX,2001,3.074,2.217,0.439,2.404,6.83,6.417,8.275,1.93,30.487
LUX,2002,3.225,2.5,0.444,2.056,-1.489,-0.098,7.609,0.826,28.036
LUX,2003,2.619,3.292,0.448,2.528,3.644,2.783,7.145,-0.596,28.455
LUX,2004,4.231,3.692,0.455,3.244,9.095,9.232,7.074,-0.203,28.379
LUX,2005,2.482,4.083,0.461,3.761,6.148,5.977,6.938,-1.23,28.449
LUX,2006,6.016,4.233,0.469,2.962,11.492,12.922,6.642,1.398,25.646
LUX,2007,8.099,4.183,0.476,2.655,2.564,5.128,6.549,6.45,26.062
LUX,2008,-0.302,4.142,0.484,4.092,2.181,-0.328,6.129,3.374,26.708
LUX,2009,-3.239,5.483,0.494,0.007,-9.073,-7.243,5.785,-2.336,21.968
LUX,2010,3.76,5.817,0.502,2.795,14.253,10.156,5.778,-0.906,23.861
LUX,2011,1.044,5.667,0.512,3.728,6.746,4.388,5.64,-2.005,24.909
LUX,2012,1.65,6.099,0.525,2.888,1.76,1.619,5.3,-2.483,24.052
LUX,2013,3.172,6.83,0.537,1.699,6.229,6.316,5.09,-1.515,23.236
LUX,2014,2.623,7.092,0.55,0.694,8.236,6.516,4.918,-1.085,24.011
LUX,2015,2.269,6.648,0.563,0.059,5.707,5.139,4.737,-1.012,23.696
LUX,2016,4.978,6.263,0.576,0.043,3.752,5.309,4.727,1.683,22.659
LUX,2017,1.317,5.843,0.591,2.112,0.754,-0.227,4.451,0.834,23.341
LUX,2018,1.219,5.103,0.602,2.018,3.711,3.612,6.49,-0.073,23.535
LUX,2019,2.916,5.406,0.614,1.651,7.411,5.996,8.873,0.721,27.566
LUX,2020,-0.91,6.363,0.626,0.006,-0.377,0.594,8.595,-1.729,25.94
LUX,2021,7.169,5.746,0.635,3.468,12.374,10.278,7.9,2.895,26.739
LUX,2022,1.38,4.817,0.645,8.15,-1.906,-0.641,7.65,2.064,25.396
LVA,1992,-11.4,3.178,2.677,109.2,38.109,44.955,11.298,,18.204
LVA,1993,-11.4,6.951,2.669,109.2,38.109,44.955,15.277,,16.035
LVA,1994,2.2,6.951,2.627,35.9,13.155,-1.791,4.439,,16.604
LVA,1995,-2.084,6.951,2.501,25.0,24.858,9.119,-0.299,,12.638
LVA,1996,2.588,20.711,2.47,17.6,33.506,26.276,-4.682,,10.612
LVA,1997,8.837,15.167,2.445,8.074,8.964,13.493,-5.285,,13.948
LVA,1998,6.336,13.958,2.421,4.295,20.357,8.422,-9.06,,13.924
LVA,1999,2.756,14.067,2.399,2.114,-5.351,-6.578,-7.22,,21.251
LVA,2000,5.676,14.342,2.382,2.633,2.675,14.419,-4.703,,19.784
LVA,2001,6.324,13.475,2.353,2.526,15.639,9.038,-7.509,,20.343
LVA,2002,7.088,12.492,2.321,1.963,2.711,5.03,-6.471,,21.376
LVA,2003,8.423,11.642,2.299,2.94,11.865,3.98,-7.773,,22.014
LVA,2004,8.284,11.742,2.277,6.187,20.656,13.752,-12.238,,20.843
LVA,2005,10.72,10.042,2.25,6.89,17.055,23.505,-11.784,,23.273
LVA,2006,11.972,7.033,2.228,6.571,21.879,7.542,-20.767,,19.056
LVA,2007,9.942,6.075,2.209,10.081,17.446,13.86,-20.662,,20.898
LVA,2008,-3.249,7.75,2.192,15.253,-11.14,2.319,-12.26,,23.012
LVA,2009,-14.26,17.55,2.163,3.259,-30.894,-12.874,7.658,,30.094
LVA,2010,-4.456,19.475,2.121,-1.224,12.806,13.444,1.697,,22.041
LVA,2011,2.574,16.208,2.075,4.222,22.78,12.604,-3.405,,22.359
LVA,2012,7.042,15.048,2.045,2.285,5.247,9.498,-3.726,,23.795
LVA,2013,2.008,11.868,2.024,0.011,-0.127,0.659,-2.791,,21.558
LVA,2014,1.902,10.847,2.001,0.69,3.0,6.272,-1.642,,22.22
LVA,2015,3.885,9.875,1.986,0.213,1.647,2.974,-0.61,,23.195
LVA,2016,2.369,9.642,1.969,0.099,3.565,3.956,1.569,,22.734
LVA,2017,3.312,8.715,1.95,2.894,8.546,6.352,1.227,,23.24
LVA,2018,3.991,7.415,1.934,2.554,6.338,4.405,-0.175,,23.031
LVA,2019,0.588,6.311,1.92,2.747,2.224,1.298,-0.621,,22.202
LVA,2020,-3.514,8.099,1.908,0.081,-1.143,0.355,2.913,,24.315
LVA,2021,6.732,7.557,1.893,3.239,15.061,9.045,-3.934,,21.076
LVA,2022,2.955,6.851,1.876,17.245,11.094,10.315,-4.775,,20.262
LVA,2023,-0.306,6.503,1.883,9.058,-2.857,-5.925,-4.011,,18.949
MLT,1980,-1.175,12.5,0.315,2.692,17.843,16.331,-4.85,1.842,49.2
MLT,1981,-1.175,12.5,0.318,11.61,-8.248,-11.931,-4.85,1.842,56.183
MLT,1982,-1.175,12.5,0.32,5.817,-4.05,-15.656,-4.85,1.842,53.161
MLT,1983,-1.175,12.5,0.332,-0.925,-4.249,1.331,-4.85,1.842,47.228
MLT,1984,-1.175,12.5,0.329,-0.443,3.796,3.884,-4.85,1.842,47.852
MLT,1985,-1.175,12.2,0.332,-0.236,9.044,7.221,-4.85,1.842,41.21
MLT,1986,-1.175,11.0,0.341,2.031,-0.033,6.862,-4.85,1.842,41.523
MLT,1987,-1.175,8.2,0.343,0.416,14.029,14.347,-4.85,1.842,45.542
MLT,1988,-1.175,6.2,0.346,0.946,34.868,26.189,-4.85,1.842,50.798
MLT,1989,-1.175,4.636,0.349,0.866,11.077,10.7,-4.85,1.842,45.547
MLT,1990,-1.175,4.8,0.352,2.975,15.665,13.269,-4.85,1.842,48.583
MLT,1991,-1.175,4.4,0.362,2.552,5.394,7.525,-4.85,1.842,48.691
MLT,1992,-1.175,4.9,0.366,1.845,3.026,9.668,-4.85,1.842,44.106
MLT,1993,-1.175,5.4,0.369,4.031,5.874,5.296,-4.85,1.842,40.81
MLT,1994,-1.175,5.4,0.373,4.128,7.534,7.123,-4.85,1.842,39.879
MLT,1995,-1.175,4.9,0.376,3.973,10.032,5.366,-4.85,1.842,31.378
MLT,1996,-1.175,5.2,0.378,1.964,-5.921,-5.899,-5.252,1.842,25.111
MLT,1997,-1.175,6.2,0.381,3.919,-1.684,3.975,-2.736,1.842,29.688
MLT,1998,-1.175,6.6,0.384,3.673,2.511,8.141,-2.664,1.842,27.081
MLT,1999,-1.175,7.1,0.386,2.294,10.125,8.231,-1.506,1.842,31.384
MLT,2000,-1.175,6.758,0.389,3.03,10.431,5.582,-5.141,1.842,21.353
MLT,2001,-1.175,7.617,0.391,2.518,-9.157,-3.979,-1.555,-1.315,16.884
MLT,2002,2.565,7.025,0.395,2.626,1.242,6.312,0.996,-0.714,16.686
MLT,2003,4.074,7.567,0.397,1.939,4.555,-0.342,-1.224,1.118,17.729
MLT,2004,0.14,7.217,0.4,2.719,-1.176,-2.104,-5.44,-1.057,13.495
MLT,2005,3.384,6.942,0.403,2.529,5.986,4.303,-8.147,-0.287,13.156
MLT,2006,2.51,6.817,0.405,2.57,18.433,17.511,-9.324,-0.514,11.883
MLT,2007,4.775,6.467,0.406,0.713,8.13,10.865,-3.848,1.418,17.003
MLT,2008,3.826,5.975,0.408,4.676,19.529,19.409,-1.039,2.606,21.09
MLT,2009,-1.134,6.883,0.411,1.836,-1.079,-0.415,-6.451,-1.05,13.58
MLT,2010,5.544,6.842,0.414,2.032,8.217,8.205,-4.509,1.525,17.767
MLT,2011,0.467,6.392,0.415,2.516,3.793,5.272,-0.198,-1.405,17.484
MLT,2012,4.118,6.2,0.418,3.225,3.773,5.466,1.657,-1.747,18.812
MLT,2013,5.473,6.108,0.423,0.991,-1.246,0.949,2.563,-1.902,18.738
MLT,2014,7.634,5.733,0.429,0.777,0.898,3.45,8.502,-0.953,24.167
MLT,2015,9.608,5.392,0.44,1.168,19.266,15.438,2.699,1.39,26.839
MLT,2016,3.381,4.7,0.45,0.897,5.771,7.024,-0.567,-2.045,22.687
MLT,2017,10.869,4.0,0.46,1.262,5.571,10.371,5.859,1.754,26.475
MLT,2018,7.416,3.658,0.476,1.735,9.072,8.447,5.612,3.12,25.465
MLT,2019,7.124,3.633,0.494,1.519,10.51,9.686,9.029,5.038,29.596
MLT,2020,-8.157,4.358,0.515,0.794,1.518,-1.813,2.198,-7.898,23.723
MLT,2021,12.514,3.408,0.516,0.715,5.074,7.575,1.204,-1.552,22.643
MLT,2022,8.076,2.917,0.521,6.125,11.684,8.56,-2.976,0.583,23.043
MLT,2023,5.614,2.5,0.542,5.655,11.684,8.56,-2.976,1.094,21.403
NLD,1980,-0.514,3.354,14.091,6.8,-6.058,1.424,-0.441,1.969,23.127
NLD,1981,-0.514,4.583,14.209,6.8,-6.058,1.424,2.356,-0.352,23.133
NLD,1982,-1.283,6.525,14.286,5.9,0.039,-0.446,3.194,-2.444,22.9
NLD,1983,1.758,8.254,14.34,2.9,3.916,3.189,3.322,-2.389,23.75
NLD,1984,3.118,8.09,14.395,3.4,5.307,7.751,4.475,-0.388,25.115
NLD,1985,2.656,7.327,14.454,2.3,6.464,5.137,2.936,0.254,24.051
NLD,1986,3.126,6.52,14.529,2.3,4.245,2.705,2.142,-0.344,24.783
NLD,1987,1.85,6.337,14.615,-1.0,3.718,3.49,1.695,-1.002,24.406
NLD,1988,4.585,6.247,14.715,0.5,3.213,7.522,2.699,-1.331,26.678
NLD,1989,4.481,5.674,14.805,1.1,7.802,8.612,3.853,0.272,28.523
NLD,1990,4.178,5.112,14.893,2.5,3.976,5.66,2.517,1.0,26.743
NLD,1991,2.451,4.799,15.01,3.179,6.335,6.605,2.255,0.209,25.628
NLD,1992,1.589,4.865,15.129,2.837,2.851,2.945,1.871,-0.709,25.18
NLD,1993,1.264,5.53,15.239,1.642,0.396,3.967,3.71,-1.64,25.175
NLD,1994,3.009,6.193,15.342,2.12,9.032,8.67,4.521,-1.59,26.208
NLD,1995,2.773,7.733,15.424,1.348,9.821,8.376,5.693,-1.87,27.421
NLD,1996,3.494,7.099,15.494,1.447,5.323,4.248,4.772,-1.51,27.333
NLD,1997,4.328,6.101,15.567,1.856,11.13,9.754,6.009,-0.51,28.852
NLD,1998,4.668,4.93,15.654,1.783,8.392,6.652,2.971,0.71,25.915
NLD,1999,5.032,4.139,15.76,2.038,9.882,9.037,3.504,2.27,26.721
NLD,2000,4.199,3.66,15.864,2.347,11.112,12.304,1.738,3.27,24.308
NLD,2001,2.328,3.137,15.987,5.113,2.627,1.576,2.274,2.82,24.992
NLD,2002,0.217,3.665,16.105,3.852,0.353,0.626,2.33,0.67,23.338
NLD,2003,0.158,5.921,16.193,2.227,1.981,1.822,5.154,-1.25,25.643
NLD,2004,1.983,6.773,16.258,1.383,6.334,8.172,7.56,-1.3,27.882
NLD,2005,2.047,6.961,16.306,1.491,5.425,5.769,7.047,-1.012,27.501
NLD,2006,3.462,6.079,16.334,1.654,7.605,7.16,9.085,0.303,30.109
NLD,2007,3.772,5.295,16.358,1.587,7.901,5.36,6.886,1.999,30.235
NLD,2008,2.172,4.77,16.405,2.213,-0.759,1.681,4.966,2.642,27.297
NLD,2009,-3.667,5.422,16.486,0.972,-7.612,-8.566,5.415,-1.775,26.136
NLD,2010,1.341,6.082,16.575,0.929,8.552,9.764,6.934,-0.677,27.156
NLD,2011,1.55,6.05,16.656,2.472,3.877,5.157,8.535,0.673,28.575
NLD,2012,-1.031,6.823,16.73,2.818,2.166,3.266,10.194,-0.617,28.919
NLD,2013,-0.127,8.204,16.78,2.556,2.326,2.523,9.751,-1.127,28.261
NLD,2014,1.424,8.338,16.829,0.32,3.271,4.621,8.172,-0.59,26.085
NLD,2015,1.958,7.887,16.901,0.219,14.883,7.444,5.204,-0.268,27.679
NLD,2016,2.192,7.005,16.979,0.114,-1.977,1.668,7.114,-0.073,27.601
NLD,2017,2.911,5.873,17.082,1.293,6.174,6.489,8.918,0.967,29.511
NLD,2018,2.361,4.881,17.181,1.599,4.714,4.324,9.32,1.396,30.277
NLD,2019,1.956,4.436,17.282,2.669,3.258,1.979,6.919,1.503,29.016
NLD,2020,-3.885,4.851,17.408,1.106,-4.671,-4.272,5.142,-4.156,26.898
NLD,2021,6.192,4.226,17.475,2.819,6.426,8.099,12.114,-0.224,33.646
NLD,2022,4.326,3.537,17.591,11.617,3.797,4.496,9.271,2.016,30.503
NLD,2023,0.093,3.553,17.811,4.117,3.797,4.496,9.271,0.448,30.244
PRT,1980,6.725,7.824,9.766,5.862,6.585,-0.592,-3.263,5.61,30.634
PRT,1981,3.523,8.29,9.851,21.152,6.585,-0.592,-14.428,5.058,20.984
PRT,1982,2.163,7.457,9.912,22.73,5.872,4.833,-10.621,3.803,24.786
PRT,1983,0.972,7.945,9.958,25.106,-6.485,20.796,-5.775,1.388,24.329
PRT,1984,-1.042,10.503,9.996,29.3,-2.073,14.34,-2.401,-3.017,22.849
PRT,1985,1.636,8.674,10.024,19.335,4.634,8.319,1.395,-4.871,25.439
PRT,1986,3.32,8.603,10.033,11.666,18.848,7.979,3.078,-5.332,26.73
PRT,1987,7.632,7.126,10.03,9.402,27.402,10.135,0.918,-2.029,28.752
PRT,1988,5.34,7.069,10.02,9.58,21.642,8.632,-1.923,-0.865,27.488
PRT,1989,6.649,5.059,10.005,12.611,8.496,18.697,0.256,1.559,27.925
PRT,1990,7.859,4.225,9.983,13.37,16.121,12.976,-0.228,5.325,27.974
PRT,1991,3.37,4.138,9.96,11.428,8.363,0.451,-0.797,4.865,24.395
PRT,1992,3.13,3.86,9.953,8.863,10.993,5.445,-0.17,4.369,25.101
PRT,1993,-0.687,5.127,9.965,5.93,-1.534,1.304,0.245,0.212,22.462
PRT,1994,1.489,6.34,9.992,4.971,10.565,10.465,-2.203,-1.54,20.705
PRT,1995,2.307,7.917,10.026,3.969,9.436,13.588,-0.112,-2.387,20.268
PRT,1996,3.504,8.015,10.064,2.936,5.152,5.711,-4.49,-1.558,19.565
PRT,1997,4.401,7.51,10.109,1.89,4.346,2.022,-6.109,-1.558,19.857
PRT,1998,4.808,5.72,10.16,2.215,21.276,15.097,-7.548,1.904,20.334
PRT,1999,3.907,5.169,10.218,2.17,1.965,0.056,-8.868,2.977,20.256
PRT,2000,3.816,4.717,10.29,2.805,-7.684,-3.856,-10.796,4.098,17.924
PRT,2001,1.944,4.801,10.363,4.41,3.074,4.038,-10.449,3.574,18.039
PRT,2002,0.771,5.779,10.42,3.701,4.362,9.948,-8.383,2.219,17.315
PRT,2003,-0.931,7.038,10.459,3.237,10.961,17.499,-6.634,-0.475,16.451
PRT,2004,1.789,7.392,10.484,2.51,8.428,6.118,-7.957,-0.134,15.595
PRT,2005,0.782,8.343,10.503,2.13,-4.63,-5.129,-9.585,-0.648,13.593
PRT,2006,1.625,8.408,10.522,3.046,4.872,11.228,-10.26,-0.192,12.929
PRT,2007,2.507,8.722,10.543,2.422,10.34,13.691,-9.62,1.264,13.395
PRT,2008,0.319,8.315,10.558,2.652,2.194,0.15,-11.833,0.712,11.416
PRT,2009,-3.122,10.177,10.568,-0.903,-15.739,-14.992,-10.294,-2.982,10.955
PRT,2010,1.738,11.506,10.573,1.391,-4.515,-1.68,-10.256,-1.579,10.738
PRT,2011,-1.696,13.445,10.558,3.554,-4.685,9.313,-5.978,-3.406,13.443
PRT,2012,-4.057,16.516,10.515,2.776,-11.852,-2.869,-1.613,-7.227,13.909
PRT,2013,-0.923,17.092,10.457,0.44,7.426,12.379,1.636,-7.8,15.666
PRT,2014,0.792,14.535,10.401,-0.16,8.998,5.313,0.158,-6.833,15.175
PRT,2015,1.792,12.939,10.358,0.508,8.088,6.341,0.23,-5.141,15.845
PRT,2016,2.019,11.452,10.326,0.636,5.027,4.191,1.172,-3.577,16.475
PRT,2017,3.506,9.208,10.3,1.556,7.998,7.966,1.295,-1.086,18.228
PRT,2018,2.849,7.175,10.284,1.168,5.055,4.15,0.554,0.327,18.543
PRT,2019,2.683,6.675,10.286,0.3,5.125,3.978,0.435,1.397,18.625
PRT,2020,-8.301,7.15,10.297,-0.121,-11.848,-18.834,-1.039,-4.757,17.879
PRT,2021,5.737,6.692,10.295,0.941,12.151,12.282,-0.757,-2.271,19.87
PRT,2022,6.828,6.142,10.299,8.103,10.85,17.58,-1.148,1.791,19.503
PRT,2023,2.28,6.583,10.309,5.264,2.247,4.057,1.372,1.515,20.915
SVK,1993,6.206,12.7,5.337,13.464,-4.733,14.758,-4.746,2.672,20.047
SVK,1994,6.206,14.6,5.367,13.464,-4.733,14.758,4.193,2.775,25.697
SVK,1995,7.872,13.7,5.397,9.901,12.226,6.171,2.686,3.292,26.141
SVK,1996,6.941,12.6,5.408,5.782,17.441,-1.284,-9.667,2.362,23.96
SVK,1997,4.445,11.882,5.379,6.033,7.888,5.856,-8.8,6.529,26.182
SVK,1998,4.076,12.725,5.388,6.691,-2.273,-2.562,-9.573,4.565,24.892
SVK,1999,-0.106,16.492,5.393,10.461,-3.972,10.088,-4.466,0.191,24.802
SVK,2000,1.167,18.9,5.399,12.161,7.558,9.075,-3.083,-2.218,23.912
SVK,2001,3.254,19.458,5.379,7.144,17.931,10.504,-7.979,-3.058,22.736
SVK,2002,4.51,18.825,5.379,3.489,5.444,7.393,-7.603,-2.849,22.528
SVK,2003,5.499,17.7,5.375,8.417,8.59,20.081,-4.893,-1.82,20.819
SVK,2004,5.279,18.358,5.372,7.451,21.653,20.587,-5.85,-1.488,20.555
SVK,2005,6.624,16.358,5.373,2.779,15.254,12.834,-7.287,-0.324,22.423
SVK,2006,8.493,13.442,5.373,4.266,20.087,23.429,-7.026,2.027,21.722
SVK,2007,10.832,11.217,5.373,1.9,8.89,13.941,-4.8,6.535,23.497
SVK,2008,5.574,9.592,5.376,3.95,4.234,3.089,-6.358,6.951,21.706
SVK,2009,-5.455,12.1,5.382,0.937,-19.056,-16.464,-3.443,-3.195,17.122
SVK,2010,6.717,14.433,5.39,0.699,16.336,17.18,-4.629,-1.462,19.866
SVK,2011,2.671,13.617,5.392,4.072,8.063,10.804,-4.872,-2.112,20.926
SVK,2012,1.319,13.908,5.404,3.731,2.273,9.264,0.929,-2.818,21.309
SVK,2013,0.633,14.175,5.411,1.459,5.498,5.893,1.851,-3.194,22.939
SVK,2014,2.697,13.108,5.416,-0.093,4.991,3.982,1.14,-1.764,23.203
SVK,2015,5.167,11.475,5.421,-0.33,8.029,6.348,-2.083,1.302,22.627
SVK,2016,1.944,9.658,5.426,-0.473,4.963,5.106,-2.734,1.183,20.166
SVK,2017,2.938,8.058,5.435,1.393,4.663,4.047,-1.911,1.364,21.438
SVK,2018,4.03,6.508,5.443,2.531,4.069,4.687,-2.196,1.516,21.253
SVK,2019,2.511,5.717,5.45,2.771,2.177,0.788,-3.349,1.118,20.477
SVK,2020,-3.335,6.633,5.458,2.016,-8.268,-6.431,0.552,-3.07,19.991
SVK,2021,4.789,6.808,5.46,2.828,11.629,10.419,-2.459,-0.997,19.693
SVK,2022,1.75,6.175,5.435,12.135,4.498,3.143,-8.152,-0.419,15.224
SVK,2023,1.15,5.842,5.429,10.962,4.498,3.143,-8.152,-0.429,17.327
SVN,1992,2.8,7.836,1.999,31.93,16.8,1.0,5.642,-2.617,18.316
SVN,1993,2.8,8.591,1.989,31.93,16.8,1.0,1.696,-2.617,18.832
SVN,1994,5.3,8.497,1.989,20.872,12.8,12.8,3.353,-2.617,25.037
SVN,1995,4.1,7.0,1.989,13.572,10.8,0.9,-0.453,-2.617,23.556
SVN,1996,3.203,6.892,1.99,9.919,2.397,2.972,0.068,-2.831,23.744
SVN,1997,5.05,6.917,1.987,8.342,11.69,11.634,0.108,-1.69,24.868
SVN,1998,3.28,7.367,1.985,7.948,10.059,7.821,-0.662,-1.082,25.144
SVN,1999,5.332,7.408,1.978,6.121,8.409,2.005,-3.23,-4.773,24.448
SVN,2000,3.673,6.742,1.988,8.935,6.619,12.593,-2.766,-5.315,24.787
SVN,2001,3.217,6.192,1.99,8.38,3.623,7.181,0.04,-6.46,25.36
SVN,2002,3.506,6.342,1.994,7.481,5.625,7.784,0.875,-5.195,25.446
SVN,2003,2.96,6.725,1.995,5.544,6.464,3.16,-0.81,-4.061,25.082
SVN,2004,4.359,6.325,1.996,3.593,13.969,13.041,-2.692,-1.897,25.59
SVN,2005,3.798,6.55,1.998,2.452,7.337,11.366,-1.8,-0.097,26.19
SVN,2006,5.746,6.0,2.003,2.458,12.388,14.122,-1.836,2.882,28.27
SVN,2007,6.98,4.875,2.01,3.657,17.057,13.858,-4.138,7.167,28.662
SVN,2008,3.51,4.425,2.01,5.647,4.09,4.183,-5.319,8.572,27.303
SVN,2009,-7.549,5.9,2.032,0.839,-18.386,-16.56,-1.081,-0.72,22.037
SVN,2010,1.344,7.25,2.047,1.801,6.633,10.161,-0.768,-0.575,21.219
SVN,2011,0.861,8.225,2.05,1.803,5.315,6.868,-0.836,-0.655,20.667
SVN,2012,-2.64,8.9,2.055,2.597,-3.536,0.496,1.295,-4.16,19.637
SVN,2013,-1.029,10.1,2.059,1.769,2.111,3.061,3.3,-5.834,21.902
SVN,2014,2.768,9.75,2.061,0.199,4.157,6.011,5.097,-4.473,24.514
SVN,2015,2.21,9.0,2.063,-0.526,4.318,4.741,3.817,-3.53,23.065
SVN,2016,3.192,8.025,2.064,-0.055,6.289,6.163,4.776,-1.833,23.264
SVN,2017,4.816,6.575,2.066,1.429,10.672,11.071,6.217,0.708,26.392
SVN,2018,4.455,5.125,2.067,1.739,7.086,6.155,5.874,2.884,27.447
SVN,2019,3.523,4.45,2.081,1.631,4.669,4.482,5.854,3.891,26.641
SVN,2020,-4.241,5.0,2.096,-0.055,-9.118,-8.529,7.222,-2.239,27.462
SVN,2021,8.229,4.725,2.109,1.917,17.787,14.474,3.312,2.303,25.192
SVN,2022,2.461,4.0,2.107,8.834,8.992,7.163,-1.014,1.903,23.489
SVN,2023,1.587,3.675,2.117,7.447,-5.069,-1.967,4.476,0.712,25.12
